ID,Month-Year,Kind Room,Monthly Room Profit,Total Rooms,Occupied Rooms,% Occupation,Total Monthly Profit
1,01/2023,AABB / AABB,315690.74,32,272,8.5,1139770.76
2,01/2023,AABB / AAEE,21040.72,17,24,1.411764705882353,1139770.76
3,01/2023,AABB / SSNN,1915,2,2,1,1139770.76
4,01/2023,AABB / UUNN,11637.78,13,15,1.153846153846154,1139770.76
5,01/2023,AADD / AABB,5619.6,5,5,1,1139770.76
6,01/2023,AADD / AADD,16388,6,11,1.833333333333333,1139770.76
7,01/2023,AADD / AAEE,3590.4,4,5,1.25,1139770.76
8,01/2023,AADD / UUNN,2921.28,4,4,1,1139770.76
9,01/2023,AAEE / AABB,270,1,1,1,1139770.76
10,01/2023,AAEE / AAEE,242150.8,30,326,10.86666666666667,1139770.76
11,01/2023,AAEE / UUNN,18765.14,19,34,1.789473684210526,1139770.76
12,01/2023,BBBB / AABB,1613,2,3,1.5,1139770.76
13,01/2023,BBBB / AAEE,1473.92,0,0,0,1139770.76
14,01/2023,BBBB / BBBB,45807.86,4,30,7.5,1139770.76
15,01/2023,BBBB / UUNN,1286,0,0,0,1139770.76
16,01/2023,BBKK / AABB,2689.7,1,2,2,1139770.76
17,01/2023,BBKK / AAEE,1473.92,0,0,0,1139770.76
18,01/2023,BBKK / BBBB,1800,1,1,1,1139770.76
19,01/2023,BBKK / BBKK,1290,1,1,1,1139770.76
20,01/2023,LLNN / BBKK,9600,1,1,1,1139770.76
21,01/2023,LLNN / LLNN,1400,1,1,1,1139770.76
22,01/2023,RRNN / RRNN,7300,1,7,7,1139770.76
23,01/2023,SSBB / AABB,1134,1,2,2,1139770.76
24,01/2023,SSBB / AAEE,5452.59,4,6,1.5,1139770.76
25,01/2023,SSBB / SSBB,38775,5,44,8.8,1139770.76
26,01/2023,SSBB / SSNN,8114.64,5,11,2.2,1139770.76
27,01/2023,SSBB / UUNN,892.37,2,3,1.5,1139770.76
28,01/2023,SSNN / AAEE,1589.5,3,3,1,1139770.76
29,01/2023,SSNN / SSNN,56555.75,8,75,9.375,1139770.76
30,01/2023,SSNN / UUNN,910.9,1,2,2,1139770.76
31,01/2023,SSQQ / AAEE,485,1,1,1,1139770.76
32,01/2023,SSQQ / SSBB,495,1,1,1,1139770.76
33,01/2023,SSQQ / SSQQ,2540,1,3,3,1139770.76
34,01/2023,SSQQ / UUNN,300,1,1,1,1139770.76
35,01/2023,UUHH / UUHH,1495,1,5,5,1139770.76
36,01/2023,UUHH / UUNN,1515,1,3,3,1139770.76
37,01/2023,UUNN / AABB,2410,2,2,1,1139770.76
38,01/2023,UUNN / UUHH,320,1,1,1,1139770.76
39,01/2023,UUNN / UUNN,301062.15,37,356,9.621621621621621,1139770.76
40,02/2023,AABB / AABB,253032.75,32,277,8.65625,1166674.81
41,02/2023,AABB / AAEE,22817.94,19,26,1.368421052631579,1166674.81
42,02/2023,AABB / SSBB,2055,3,3,1,1166674.81
43,02/2023,AABB / SSNN,5621.92,3,4,1.333333333333333,1166674.81
44,02/2023,AABB / UUNN,13497.52,11,13,1.181818181818182,1166674.81
45,02/2023,AADD / AABB,948.6,1,2,2,1166674.81
46,02/2023,AADD / AADD,4740,3,6,2,1166674.81
47,02/2023,AADD / AAEE,24031.41,6,23,3.833333333333333,1166674.81
48,02/2023,AADD / SSBB,1280,1,1,1,1166674.81
49,02/2023,AADD / SSNN,2412,0,0,0,1166674.81
50,02/2023,AADD / SSSN,575,1,1,1,1166674.81
51,02/2023,AADD / UUNN,4880.5,4,5,1.25,1166674.81
52,02/2023,AAEE / AABB,970,1,2,2,1166674.81
53,02/2023,AAEE / AAEE,286856.05,30,347,11.56666666666667,1166674.81
54,02/2023,AAEE / SSNN,409.05,1,1,1,1166674.81
55,02/2023,AAEE / UUNN,21672.15,23,33,1.434782608695652,1166674.81
56,02/2023,BBBB / AABB,800,2,2,1,1166674.81
57,02/2023,BBBB / AAEE,3652.4,2,4,2,1166674.81
58,02/2023,BBBB / BBBB,34196.51,4,32,8,1166674.81
59,02/2023,BBBB / BBKK,1350,1,2,2,1166674.81
60,02/2023,BBBB / SSBB,1770,2,2,1,1166674.81
61,02/2023,BBBB / UUNN,1960.4,2,2,1,1166674.81
62,02/2023,BBKK / AAEE,1668,1,1,1,1166674.81
63,02/2023,BBKK / BBKK,1197,1,1,1,1166674.81
64,02/2023,BBKK / SSNN,3243,1,2,2,1166674.81
65,02/2023,LLNN / LLNN,3650,1,5,5,1166674.81
66,02/2023,RRNN / RRNN,14000,1,2,2,1166674.81
67,02/2023,SSBB / AAEE,5013.38,4,8,2,1166674.81
68,02/2023,SSBB / SSBB,16512.14,5,20,4,1166674.81
